Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupant Count (people),Temperature Set Point (C),HVAC Mode (Off/Cooling/Heating),Carbon Intensity (kg_CO2/kWh)
6,2,7,0,23.33367039547949,0.000337062146162,61.94912587148953,0.3309562712866683,0.0,3.420634935952484,0.0,0.0,2.0,23.33333333333333,1,0.4268248696354485
8,15,4,0,24.99994710276321,-5.289723679169356e-05,54.88217434339666,0.7340200901780989,0.0,1.2963301972156156,0.0,312.78839155949566,1.0,25.0,1,0.4713488323193351
7,17,7,0,25.317525673901184,-0.015807659432145,55.90739676544148,0.5969808174398279,0.38087291870084,4.049829283488449,0.0,368.9738306858835,1.0,25.33333333333333,1,0.4522541183382813
6,4,7,0,23.333339356192504,6.0228591749478255e-06,65.7032657102289,0.3329290609558162,0.0,0.8643279834328149,0.0,0.0,2.0,23.33333333333333,1,0.3122934033400528
6,19,3,0,23.78000153220325,0.0022237544254792,66.00716732837981,0.5782448441009377,0.5114176554135785,5.867122013947882,0.0,65.61499187317531,2.0,23.77777777777777,1,0.4197271070117946
6,12,5,0,24.264937203784253,-0.0128405739935253,75.07178390633132,0.9049674378927172,0.8787664250642865,0.5941732708249815,0.0,451.5936095409572,0.0,24.27777777777778,1,0.4774216858118577
7,20,2,0,25.55555848831398,2.9327584378791016e-06,56.71813804766293,0.4566313790072541,0.1927290696181656,1.989305841571469,0.0,1.6873718601324177,1.0,25.555555555555543,1,0.4789744449336549
8,3,5,0,23.333349279069484,1.594573615548711e-05,61.91112192893165,0.3294345515443117,0.0,3.585368275165095,0.0,0.0,2.0,23.33333333333333,1,0.3641498722461507
8,10,4,0,27.222223836352363,1.6141301237837524e-06,47.87920212948527,0.9550496289682444,0.0,1.597640226068289,0.0,425.05346869786047,1.0,27.22222222222224,1,0.4654237099031843
7,24,5,0,23.37331889009501,0.0399855567616747,61.56790112639312,0.3337538171854078,0.0,4.530382523586534,0.0,0.0,2.0,23.333333333333336,1,0.3726157515609538
8,10,7,0,23.94359388563586,-0.0008505588085903,57.45069709907298,0.9031012904505484,0.0,3.188216388243217,0.0,440.92310123280953,0.0,23.94444444444445,1,0.462812354822264
6,10,1,0,23.888568456176444,-0.0003204327124457,56.3367712416969,0.959383712768548,0.0,3.265162523385984,0.0,437.6567849913423,1.0,23.88888888888889,1,0.4842407417030765
6,2,3,0,22.77833327725356,0.000555499475773,59.07608175053879,0.320511207453582,0.0,3.6927765549900218,0.0,0.0,2.0,22.777777777777786,1,0.3978501267524075
6,4,4,0,23.333349714830465,1.6381497136563894e-05,62.24754945220924,0.3329290609558162,0.0,3.062866523507939,0.0,0.0,2.0,23.33333333333333,1,0.3622368281876896
8,22,1,0,24.4444489541068,4.509662357321531e-06,54.21839555427133,0.5574127250570389,0.0,3.721975415034439,0.0,0.0,2.0,24.444444444444443,1,0.4486953999111887
6,7,2,0,22.77778687294436,9.095166578987346e-06,60.49204514628981,0.4411194182935123,0.0,2.2414755525798182,0.0,33.11339498297011,2.0,22.77777777777778,1,0.5634722403315936
6,16,2,0,25.00000605354932,6.053549316931139e-06,56.62389617461434,0.6152691873136958,0.0,2.6770008301023336,0.0,435.412120265215,0.0,25.0,1,0.4415468566634269
6,18,1,0,25.551347383058715,-0.0042081724968454,56.48813612372497,0.5239331952393845,0.0,4.634827934218673,0.0,208.44613322308376,1.0,25.55555555555556,1,0.3873226272094098
6,6,5,0,23.33334308356998,9.75023665006347e-06,55.76295641893919,0.3848646068041162,0.2711360503626717,2.0345645974897946,0.0,0.0,2.0,23.33333333333333,1,0.4075612262221602
6,20,3,0,27.222223084706467,8.624842458004878e-07,56.7875269172973,0.5548936672212489,0.0,0.5797060611549884,0.0,-0.0,2.0,27.22222222222222,1,0.4821190336141704
6,1,3,0,22.793917384520665,0.016139606742886,59.37302556797255,0.3343356081879571,0.0,3.985628402296936,0.0,0.0,2.0,22.77777777777778,1,0.4326883162559257
6,18,4,0,25.549726234755592,-0.0058293207999682,57.96011181710401,0.6069063203379056,0.3179555947311052,3.831851901298984,0.0,252.0732416254178,2.0,25.55555555555556,1,0.4085892488831837
7,9,7,0,23.66421643085422,-0.0024502358124394,60.84088498555445,0.7791509185365744,0.0,1.667216797997081,0.0,108.49061486302654,2.0,23.66666666666666,1,0.4233455644076282
8,9,3,0,23.66589700597792,-0.0007696606887357,57.207142513257,0.7798373725780386,0.2660775576130684,2.080091293849874,0.0,263.16566718608766,2.0,23.666666666666657,1,0.5118028373537256
7,23,5,0,27.222225236132417,3.013910195193148e-06,57.01297873234911,0.3380730828265039,0.0,1.340165594043793,0.0,0.0,1.0,27.22222222222222,1,0.4069313060378751
8,12,1,0,24.44444551317598,1.0687315317170487e-06,53.60255747056448,0.9539891654460554,0.0,4.064581603149552,0.0,510.30083761787074,1.0,24.44444444444445,1,0.489344284707622
6,2,6,0,23.33470023292049,0.0013668995871611,63.4904183690968,0.3309562712866683,0.0,3.087474706367348,0.0,0.0,2.0,23.33333333333333,1,0.3872424385226741
7,2,5,0,23.33340095409969,6.762076636235292e-05,58.06559497630772,0.3308743067580104,0.0,4.03350823110495,0.0,0.0,2.0,23.33333333333333,1,0.4675022043815884
7,16,3,0,23.88889758429761,8.695408720171827e-06,60.34699872555335,0.6136025752309854,0.0,5.165056516788715,0.0,467.56148765267193,1.0,23.88888888888889,1,0.4827492547084512
6,20,5,0,25.55555820527432,2.649718769731635e-06,49.582954020756574,0.5501860249850774,0.0,3.0328941749805054,0.0,0.6472640254576445,2.0,25.55555555555555,1,0.4628853521536972
6,23,2,0,25.55555893039347,3.37483790957549e-06,55.03651856971717,0.3381550473551618,0.0,1.0061130304460315,0.0,0.0,2.0,25.55555555555556,1,0.4867535798960272
6,5,1,0,23.333415247982728,8.19146493995504e-05,58.19158285413835,0.3508985061282988,0.0,1.9760299206784089,0.0,0.0,2.0,23.33333333333333,1,0.5055610130711923
8,13,3,0,23.834259133067054,0.000925799733725,56.96874274990222,0.9538138605339734,0.0,5.4174061055471325,0.0,697.3095176950185,1.0,23.83333333333333,1,0.3920562645650292
7,19,4,0,25.55553564866216,-1.990689339947949e-05,50.13106343649465,0.5733457876569511,0.9353892267978507,4.172749915430065,0.0,30.49222767188496,2.0,25.55555555555556,1,0.4794074776310043
7,16,6,0,24.99987296392401,-0.000127036075991,53.26146004207135,0.6136025752309854,0.0,5.177364108728893,0.0,421.262834745988,1.0,25.0,1,0.466484183510724
8,7,1,0,23.33338841188955,5.50785562225542e-05,57.00788385280711,0.4689242762028502,0.0,1.563794012999959,0.0,13.571239314945736,1.0,23.33333333333333,1,0.4975710519417777
7,23,1,0,24.11204358973634,0.0564880341807807,61.423252764119766,5.142341821255954,0.1932559789436604,2.783643237028465,0.0,0.0,2.0,24.05555555555556,1,0.4880654995646248
8,4,4,0,27.2222252923061,3.0700838777875106e-06,45.86732593854517,0.3328197749176057,0.0,0.67124582860691,0.0,0.0,2.0,27.22222222222222,1,0.4245101821820156
7,21,5,0,25.55555871538225,3.1598266936327946e-06,60.58283789887404,0.5340382312846874,0.5738536577832435,1.0109178889304626,0.0,0.0,2.0,25.55555555555556,1,0.4535391926588811
7,12,5,0,24.444444090746067,-3.536983790297654e-07,52.99110253339126,0.9016615352368498,0.0,4.177389473627468,0.0,560.2378754099473,0.0,24.444444444444446,1,0.4855713305642535
7,1,3,0,23.335652391016453,0.002319057683124,56.93242027654209,0.3323140619717091,0.0,3.86957393689592,0.0,0.0,2.0,23.33333333333333,1,0.4795583424375245
8,18,1,0,25.553312143097628,-0.0022434124579326,54.44825671536802,0.6042487586861184,0.1873945103944889,1.5940355448415393,0.0,58.97406286780267,2.0,25.55555555555556,1,0.452998851699034
8,15,1,0,24.998002493221875,-0.0019975067781246,51.75920748704755,5.53828882860755,0.5010849038184062,5.668253797113728,0.0,445.4249895999012,1.0,25.0,1,0.4834737502636785
7,21,5,0,25.55555967642042,4.120864858236928e-06,52.1868962869668,0.5340382312846874,0.9188964358926276,3.325018668857316,0.0,0.0,2.0,25.55555555555556,1,0.4939032391953308
7,15,7,0,24.999350973467724,-0.000649026532276,49.7275496430663,0.6825920306625823,0.187149467615995,5.433175388890458,0.0,656.487956916965,1.0,25.0,1,0.4716977223349634
8,8,7,0,23.333337895621824,4.562288495435496e-06,59.18480537827752,0.5843389381419436,0.0,2.27741714912579,0.0,96.03154374536864,1.0,23.33333333333333,1,0.410403138322871
6,4,6,0,23.33338907358629,5.574025296084528e-05,73.8668856503167,0.3329290609558162,0.0,0.7041227203601581,0.0,0.0,2.0,23.33333333333333,1,0.4867445431633987
6,7,3,0,23.33333927770278,5.944369444677022e-06,60.96364581755841,0.4411194182935123,0.0,1.6276748799832084,0.0,28.741245746534748,2.0,23.333333333333336,1,0.3772143762799153
7,2,6,0,23.333416356778223,8.302344489408142e-05,66.31133931922727,0.3308743067580104,0.0,2.433519512854281,0.0,0.0,2.0,23.33333333333333,1,0.3704689584631222
8,7,2,0,23.33336480677164,3.1473438308893265e-05,56.334807260845615,0.5526959883616592,0.0,1.940862672019584,0.0,13.384028456946703,1.0,23.33333333333333,1,0.5153325603118101
7,1,5,0,23.33559026766164,0.0022569343283009,59.324595702690615,0.3323140619717091,0.1873308523228058,3.787122482556158,0.0,0.0,2.0,23.333333333333336,1,0.3612074212809343
8,21,1,0,24.444448271305408,3.826860961453349e-06,54.29892474035957,0.703195051213459,0.0,4.441473731486441,0.0,0.0,2.0,24.444444444444446,1,0.4538315977594415
7,9,6,0,23.66513086899207,-0.0015357976745988,63.19482819216346,0.7791509185365744,0.2596902533418619,1.992662276870796,0.0,193.02331528997092,1.0,23.666666666666668,1,0.422410613755438
8,16,7,0,24.99969339528703,-0.0003066047129713,56.6341921230037,0.6716331355819446,0.0,6.777087156160199,0.0,561.4955429183099,1.0,25.0,1,0.3888930055023407
6,14,6,0,24.44445262685132,8.182406876500181e-06,67.1237013723008,0.8427636350684456,0.0,1.6512426595797505,0.0,474.0338405660498,1.0,24.444444444444443,1,0.4564738321204128
7,9,3,0,22.77778247818241,4.700404641511113e-06,51.09625157892532,0.8337247543413306,0.0,2.967964390442956,0.0,213.682727237991,2.0,22.777777777777768,1,0.4960412801001348
8,1,4,0,23.45224910251747,0.1189157691841344,66.78444965075909,0.3323140619717091,0.0,4.727499783923924,0.0,0.0,2.0,23.333333333333336,1,0.3670763284540453
7,4,7,0,23.33334252551517,9.1921818423657e-06,57.32529677543009,0.3328197749176057,0.0,2.420075935467686,0.0,0.0,2.0,23.33333333333333,1,0.3429226544805368
7,22,7,0,25.000003754903023,3.754903023178713e-06,54.62388897211533,0.5444886545799135,0.0,1.7482329250648234,0.0,0.0,2.0,25.0,1,0.4490044798317128
7,13,5,0,24.4992027722126,-0.0007972277874017,52.87458446233438,0.9529721571540958,0.0,5.166679719411513,0.0,638.509810210938,1.0,24.5,1,0.4850907935257549
7,22,4,0,25.28097833118722,0.0032005534094494,53.708633504720645,0.4427206239169075,0.0,1.8348071865460267,0.0,0.0,2.0,25.27777777777777,1,0.4322996640791154
8,11,1,0,24.443969280390203,-0.0004751640542366,53.661585770198094,0.981399077795153,0.0,3.4150915917797744,0.0,465.8495398466919,1.0,24.44444444444444,1,0.4907206197482105
6,17,5,0,25.26297451448652,-0.0148032632912595,58.11182277410174,0.6000040003053524,0.2882705799173719,4.3227319569674565,0.0,440.9817793720708,1.0,25.27777777777778,1,0.4092017745880936
6,24,2,0,25.55555831954932,2.7639937556500627e-06,55.12858049385411,0.3338357817140657,0.0,0.81776510470612,0.0,0.0,2.0,25.55555555555556,1,0.4178578046109167
8,5,5,0,23.333345830575382,1.24972420536551e-05,62.17925608574964,0.3506799340518778,0.0,2.6564734481695007,0.0,0.0,2.0,23.33333333333333,1,0.3488916635350716
8,23,7,0,24.462952235814576,0.018507791370137,55.417609824930615,0.4077260504877195,0.1993750063025395,3.506521820400719,0.0,0.0,2.0,24.44444444444444,1,0.4741866833374961
7,10,4,0,23.888627824081592,-0.0002610648072867,54.95135820222512,0.9541608056193018,0.1263534346997385,2.3220094752274787,0.0,431.2384345568837,1.0,23.88888888888888,1,0.465275005811059
8,18,6,0,25.550533336227687,-0.0050222193278735,51.83974529999267,0.656606078785374,0.0,5.81221014473502,0.0,206.6255714004697,2.0,25.55555555555556,1,0.4004648349242057
8,22,4,0,25.55555966154363,4.105988068658917e-06,51.540658408125175,0.5574127250570389,0.5696117463997054,2.3626783385198835,0.0,0.0,2.0,25.55555555555556,1,0.4240220650493775
7,11,5,0,24.44385330255289,-0.0005911418915509,53.030389080366376,0.9306114067588066,0.0,3.560980894935704,0.0,535.4857735327046,0.0,24.44444444444444,1,0.4871676706885029
8,6,1,0,23.333444816341665,0.0001114830083359,57.1864613534436,0.3794473709055799,0.0,1.7972285551404483,0.0,0.0,1.0,23.33333333333333,1,0.4790741448848704
8,2,6,0,23.333522468365068,0.0001891350317393,59.06919242789128,0.3309562712866683,0.0,3.814790031918042,0.0,0.0,2.0,23.33333333333333,1,0.3838357262325855
6,21,3,0,27.222222652420577,4.301983622667649e-07,57.03330249687392,0.4450855257696587,0.0,0.239037146730786,0.0,0.0,2.0,27.22222222222221,1,0.4809118287529497
6,16,7,0,24.99942090041608,-0.0005790995839198,53.651169279509496,0.6744070747332372,0.0,5.316043606572295,0.0,408.825030956032,1.0,25.0,1,0.4183477410723449
6,1,7,0,23.368244964232524,0.0349116308991952,65.92677346776284,0.3343356081879571,0.0,1.3445254864921068,0.0,0.0,2.0,23.33333333333333,1,0.3116656276375072
6,18,3,0,23.888893187963067,4.299074177538387e-06,54.11190104167968,0.5239331952393845,0.0,6.352552766706194,0.0,259.2926102101567,1.0,23.88888888888889,1,0.4651738767313904
8,7,7,0,22.77810014424228,0.000322366464502,58.06799458022458,0.4689242762028502,0.705526625268685,3.248645711922046,0.0,0.0,2.0,22.77777777777778,1,0.4960437741627604
